,Unnamed: 0,SegId,Mean,Min,Max,Variance,Count,Volume,x,y,z,StructName,sub,ses,run,acq,rec,site,side,StructNameNoSide
0,24,0,0.000189464,0,0.450254679,6.33E-05,239411,5159719.5,0,0,0,Unknown,TlVfev,1,1,R4,LLRv1,Cubric,,None
1,37,2,0.285967336,0.233742818,0.464618027,0.000700548,10764,231982.75,118.0759941,110.5843553,-87.45147155,Left-Cerebral-White-Matter,TlVfev,1,1,R4,LLRv1,Cubric,Left,Cerebral-White-Matter
2,15,3,0.329763335,0,0.519681931,0.000998653,10506,226422.4063,120.2348658,113.3309537,-94.08811216,Left-Cerebral-Cortex,TlVfev,1,1,R4,LLRv1,Cubric,Left,Cerebral-Cortex
3,16,4,0.462894562,0.249428764,10,0.700610882,567,12219.82715,102.372134,97.17813051,-92.31284319,Left-Lateral-Ventricle,TlVfev,1,1,R4,LLRv1,Cubric,Left,Lateral-Ventricle
4,3,5,0.389940385,0.330202132,0.428453088,0.000870801,8,172.4137878,115,98.4375,-119.8275906,Left-Inf-Lat-Vent,TlVfev,1,1,R4,LLRv1,Cubric,Left,Inf-Lat-Vent
5,22,7,0.306039748,0.247876674,0.369738817,0.000593452,815,17564.6543,111.404908,137.3558282,-137.72795,Left-Cerebellum-White-Matter,TlVfev,1,1,R4,LLRv1,Cubric,Left,Cerebellum-White-Matter
6,35,8,0.329722367,0,0.573400319,0.000743891,2456,52931.03125,114.3861971,146.0057003,-142.1276577,Left-Cerebellum-Cortex,TlVfev,1,1,R4,LLRv1,Cubric,Left,Cerebellum-Cortex
7,32,10,0.295228136,0.257063568,0.379369706,0.000450778,252,5431.03418,101.7361111,108.4325397,-99.76738299,Left-Thalamus,TlVfev,1,1,R4,LLRv1,Cubric,Left,Thalamus
8,29,11,0.302626667,0.248930156,0.383765846,0.000767867,129,2780.172363,104.5930233,81.9379845,-95.50922698,Left-Caudate,TlVfev,1,1,R4,LLRv1,Cubric,Left,Caudate
9,11,12,0.300767645,0.252172709,0.36152029,0.000614332,268,5775.861816,114.5802239,91.35261194,-102.483278,Left-Putamen,TlVfev,1,1,R4,LLRv1,Cubric,Left,Putamen
10,6,13,0.273731232,0.248284444,0.299858868,0.000159089,52,1120.689575,109.4711538,96.34615385,-103.9787845,Left-Pallidum,TlVfev,1,1,R4,LLRv1,Cubric,Left,Pallidum
11,33,14,0.423586437,0.319237828,0.669009745,0.005356435,64,1379.310303,91.015625,101.2109375,-105.9267288,3rd-Ventricle,TlVfev,1,1,R4,LLRv1,Cubric,,None
12,27,15,0.4356491,0.328843266,0.678685009,0.006269602,75,1616.379272,91.26666667,129.3,-133.1954065,4th-Ventricle,TlVfev,1,1,R4,LLRv1,Cubric,,None
13,13,16,0.292389693,0.242283583,0.4276416,0.000744277,709,15280.17188,90.4583921,115.9273625,-129.7991386,Brain-Stem,TlVfev,1,1,R4,LLRv1,Cubric,,None
14,21,17,0.349282336,0.290073276,0.443131417,0.001277334,193,4159.482422,115.6476684,110.6088083,-117.1699169,Left-Hippocampus,TlVfev,1,1,R4,LLRv1,Cubric,Left,Hippocampus
15,1,18,0.365431479,0.298522085,0.425026596,0.00090454,77,1659.482666,112.6298701,94.31818182,-118.7192163,Left-Amygdala,TlVfev,1,1,R4,LLRv1,Cubric,Left,Amygdala
16,18,24,0.36434616,0,1.146699667,0.00704364,17011,366616.375,87.95294221,105.3991535,-92.74932125,CSF,TlVfev,1,1,R4,LLRv1,Cubric,,None
17,31,26,0.338508171,0.299623936,0.392293721,0.000518528,39,840.5172119,101.3461538,79.03846154,-108.134399,Left-Accumbens-area,TlVfev,1,1,R4,LLRv1,Cubric,Left,Accumbens-area
18,12,28,0.291358617,0.260783792,0.366110057,0.000369278,158,3405.172363,101.8196203,106.3607595,-111.2614625,Left-VentralDC,TlVfev,1,1,R4,LLRv1,Cubric,Left,VentralDC
19,23,30,0.350119162,0.340540558,0.368644774,0.0001384,5,107.7586212,117.5,92.5,-110.3448322,Left-vessel,TlVfev,1,1,R4,LLRv1,Cubric,Left,vessel
20,38,31,0.320509343,0.291260689,0.361959547,0.000427869,23,495.6896362,108.4782609,115.8695652,-99.7001547,Left-choroid-plexus,TlVfev,1,1,R4,LLRv1,Cubric,Left,choroid-plexus
21,10,41,0.285166666,0.229976833,0.419505626,0.000628666,10436,224913.7813,67.54743197,107.8993388,-85.75422449,Right-Cerebral-White-Matter,TlVfev,1,1,R4,LLRv1,Cubric,Right,Cerebral-White-Matter
22,7,42,0.326765683,0,0.508209288,0.000839013,9356,201637.9219,63.7630932,109.499519,-92.33942198,Right-Cerebral-Cortex,TlVfev,1,1,R4,LLRv1,Cubric,Right,Cerebral-Cortex
23,34,43,0.444280378,0.268115669,10,0.582987542,512,11034.48242,80.51269531,97.62207031,-91.79014499,Right-Lateral-Ventricle,TlVfev,1,1,R4,LLRv1,Cubric,Right,Lateral-Ventricle
24,26,44,0.368821561,0.302693844,0.424267739,0.000698291,34,732.758606,61.91176471,97.57352941,-121.0953391,Right-Inf-Lat-Vent,TlVfev,1,1,R4,LLRv1,Cubric,Right,Inf-Lat-Vent
25,20,46,0.306204328,0.254200876,0.383722752,0.000525649,911,19633.61914,71.65477497,138.553787,-135.6675162,Right-Cerebellum-White-Matter,TlVfev,1,1,R4,LLRv1,Cubric,Right,Cerebellum-White-Matter
26,4,47,0.323851329,0,0.484995484,0.00062189,2216,47758.62109,69.95600181,146.9945848,-139.5011245,Right-Cerebellum-Cortex,TlVfev,1,1,R4,LLRv1,Cubric,Right,Cerebellum-Cortex
