,Unnamed: 0,SegId,Mean,Min,Max,Variance,Count,Volume,x,y,z,StructName,sub,ses,run,acq,rec,site,side,StructNameNoSide
0,22,0,0.006786532,0,10,0.008969714,244417,5267607.5,0,0,0,Unknown,B120a9,1,1,R4,CGv2,Leiden,,None
1,12,2,0.306853041,0,0.508326471,0.001023375,9513,205021.5469,112.9985283,107.6282456,-93.87444892,Left-Cerebral-White-Matter,B120a9,1,1,R4,CGv2,Leiden,Left,Cerebral-White-Matter
2,27,3,0.340566745,0,0.649099886,0.002802631,9129,196745.6875,114.7091686,110.9765582,-99.32689408,Left-Cerebral-Cortex,B120a9,1,1,R4,CGv2,Leiden,Left,Cerebral-Cortex
3,35,4,0.386089051,0.259796202,0.922902882,0.008159737,626,13491.37891,100.1956869,99.9600639,-97.56527968,Left-Lateral-Ventricle,B120a9,1,1,R4,CGv2,Leiden,Left,Lateral-Ventricle
4,33,5,0.372483379,0.347450107,0.417240232,0.000322823,14,301.7241211,110.1785714,103.9285714,-124.1379354,Left-Inf-Lat-Vent,B120a9,1,1,R4,CGv2,Leiden,Left,Inf-Lat-Vent
5,7,7,0.324307072,0.279588133,0.444712549,0.000595443,713,15366.37891,91.94600281,136.9530154,-138.8064074,Left-Cerebellum-White-Matter,B120a9,1,1,R4,CGv2,Leiden,Left,Cerebellum-White-Matter
6,24,8,0.330862974,0,0.523328304,0.001694724,2155,46443.96484,95.60208817,145.9303944,-143.8323106,Left-Cerebellum-Cortex,B120a9,1,1,R4,CGv2,Leiden,Left,Cerebellum-Cortex
7,38,10,0.32392443,0.271866709,0.425241798,0.000808074,218,4698.275879,97.16743119,106.0321101,-103.4640984,Left-Thalamus,B120a9,1,1,R4,CGv2,Leiden,Left,Thalamus
8,16,11,0.343509228,0.272264361,0.45336467,0.001196475,94,2025.862061,104.9468085,80.95744681,-102.3110832,Left-Caudate,B120a9,1,1,R4,CGv2,Leiden,Left,Caudate
9,26,12,0.314869173,0.275113076,0.367975265,0.000412008,287,6185.344727,112.7264808,90.15679443,-111.2219198,Left-Putamen,B120a9,1,1,R4,CGv2,Leiden,Left,Putamen
10,29,13,0.295575986,0.268609136,0.324571878,0.000160518,59,1271.551636,105.9745763,93.98305085,-111.1046218,Left-Pallidum,B120a9,1,1,R4,CGv2,Leiden,Left,Pallidum
11,19,14,0.485788754,0.350515336,0.617872357,0.005888941,77,1659.482666,86.85064935,96.46103896,-109.8074386,3rd-Ventricle,B120a9,1,1,R4,CGv2,Leiden,,None
12,0,15,0.386839613,0.312248319,0.487187356,0.001243167,90,1939.655151,78.91666667,123.6944444,-135.1341038,4th-Ventricle,B120a9,1,1,R4,CGv2,Leiden,,None
13,6,16,0.324577191,0.282475531,0.45490849,0.000512436,612,13189.6543,80.66993464,111.870915,-133.5925217,Brain-Stem,B120a9,1,1,R4,CGv2,Leiden,,None
14,36,17,0.358360235,0.302108616,0.412718475,0.00079905,151,3254.310303,107.6490066,112.9635762,-121.2834024,Left-Hippocampus,B120a9,1,1,R4,CGv2,Leiden,Left,Hippocampus
15,9,18,0.372392285,0.314262599,0.416965097,0.000621392,46,991.3792725,106.9565217,97.60869565,-124.362823,Left-Amygdala,B120a9,1,1,R4,CGv2,Leiden,Left,Amygdala
16,30,24,0.361749707,0,0.976495028,0.014515694,16054,345991.375,83.73816494,100.6414289,-98.68504622,CSF,B120a9,1,1,R4,CGv2,Leiden,,None
17,18,26,0.372211108,0.333658427,0.421358019,0.000776164,25,538.7930908,99.3,79.3,-115.7241424,Left-Accumbens-area,B120a9,1,1,R4,CGv2,Leiden,Left,Accumbens-area
