;Unnamed: 0;SegId;Mean;Min;Max;Variance;Count;Volume;x;y;z;StructName;sub;ses;run;acq;rec;side;StructNameNoSide
0;22;0;0.000200857;0;0.435538918;7.07E-05;257694;5553750;0;0;0;Unknown;a3b8Im;1;1;R4;CGv1;;None
1;13;2;0.283076334;0.228752866;0.426398903;0.000700917;9161;197435.3438;117.0437179;110.5891824;-75.31966988;Left-Cerebral-White-Matter;a3b8Im;1;1;R4;CGv1;Left;Cerebral-White-Matter
2;1;3;0.320116322;0;0.489840776;0.000896484;7831;168771.5469;119.5364577;112.2739752;-81.49397907;Left-Cerebral-Cortex;a3b8Im;1;1;R4;CGv1;Left;Cerebral-Cortex
3;38;4;0.339499312;0.265714765;0.689213634;0.003847822;512;11034.48242;101.1279297;102.5878906;-79.35749434;Left-Lateral-Ventricle;a3b8Im;1;1;R4;CGv1;Left;Lateral-Ventricle
4;32;5;0.345450135;0.301589549;0.387505054;0.000767332;15;323.2758484;118.6666667;98.5;-107.5862115;Left-Inf-Lat-Vent;a3b8Im;1;1;R4;CGv1;Left;Inf-Lat-Vent
5;9;7;0.308503811;0.266444355;0.370575428;0.000365853;714;15387.93066;112.219888;138.2633053;-120.7041481;Left-Cerebellum-White-Matter;a3b8Im;1;1;R4;CGv1;Left;Cerebellum-White-Matter
6;29;8;0.323865438;0;0.424219936;0.0009991;2201;47435.34375;115.3259882;144.2014993;-125.2252155;Left-Cerebellum-Cortex;a3b8Im;1;1;R4;CGv1;Left;Cerebellum-Cortex
7;26;10;0.278489827;0.240931258;0.337854743;0.000300031;277;5969.827637;102.6263538;109.7563177;-85.36039341;Left-Thalamus;a3b8Im;1;1;R4;CGv1;Left;Thalamus
8;34;11;0.300215857;0.239095971;0.359404981;0.000627759;118;2543.103271;101.8008475;85.16949153;-81.91116813;Left-Caudate;a3b8Im;1;1;R4;CGv1;Left;Caudate
9;10;12;0.290898482;0.248765454;0.338471353;0.000354863;244;5258.620605;113.3606557;90.6352459;-90.2628653;Left-Putamen;a3b8Im;1;1;R4;CGv1;Left;Putamen
10;2;13;0.273166719;0.24874039;0.291794747;0.000102875;58;1250;107.8448276;95.21551724;-90.90369101;Left-Pallidum;a3b8Im;1;1;R4;CGv1;Left;Pallidum
11;20;14;0.372461975;0.326538771;0.444850326;0.000888191;47;1012.93103;90.53191489;105.106383;-91.70946932;3rd-Ventricle;a3b8Im;1;1;R4;CGv1;;None
12;5;15;0.350682749;0.288667798;0.403861731;0.000880655;70;1508.620605;93.92857143;130.3571429;-121.0344872;4th-Ventricle;a3b8Im;1;1;R4;CGv1;;None
13;18;16;0.293130581;0.249120831;0.406324774;0.00036856;697;15021.55078;91.2482066;116.7826399;-116.1579227;Brain-Stem;a3b8Im;1;1;R4;CGv1;;None
14;35;17;0.329328538;0.281770498;0.379800975;0.000649662;205;4418.103516;113.5;112.2439024;-101.5475237;Left-Hippocampus;a3b8Im;1;1;R4;CGv1;Left;Hippocampus
15;8;18;0.349691339;0.304242581;0.38663283;0.000409629;66;1422.413696;109.6212121;94.24242424;-105.1724185;Left-Amygdala;a3b8Im;1;1;R4;CGv1;Left;Amygdala
16;25;24;0.334872352;0;0.631890893;0.005675851;14510;312715.5;87.8768091;107.2672295;-82.57801309;CSF;a3b8Im;1;1;R4;CGv1;;None
17;17;26;0.327424868;0.292557955;0.356131285;0.000283139;30;646.5516968;98.33333333;81.83333333;-95.74713128;Left-Accumbens-area;a3b8Im;1;1;R4;CGv1;Left;Accumbens-area
18;15;28;0.283411517;0.260917366;0.341986686;0.000300351;157;3383.620605;100.4299363;106.3057325;-97.27652579;Left-VentralDC;a3b8Im;1;1;R4;CGv1;Left;VentralDC
