,Unnamed: 0,Pos,WM,GM,sub,ses,run,acq,rec,site
0,0,0.0015,0,0.672776142,TeTolj,1,1,R4,LLRv1,Tommies
1,1,0.003995,0,0,TeTolj,1,1,R4,LLRv1,Tommies
2,2,0.00649,0,0,TeTolj,1,1,R4,LLRv1,Tommies
3,3,0.008985,0,0,TeTolj,1,1,R4,LLRv1,Tommies
4,4,0.01148,0,0,TeTolj,1,1,R4,LLRv1,Tommies
5,5,0.013975,0,0.019222183,TeTolj,1,1,R4,LLRv1,Tommies
6,6,0.016469998,0,0,TeTolj,1,1,R4,LLRv1,Tommies
7,7,0.018964998,0,0.019222175,TeTolj,1,1,R4,LLRv1,Tommies
8,8,0.021459999,0,0,TeTolj,1,1,R4,LLRv1,Tommies
9,9,0.023954999,0,0,TeTolj,1,1,R4,LLRv1,Tommies
10,10,0.026449999,0,0,TeTolj,1,1,R4,LLRv1,Tommies
11,11,0.028944999,0,0.019222175,TeTolj,1,1,R4,LLRv1,Tommies
12,12,0.03144,0,0,TeTolj,1,1,R4,LLRv1,Tommies
13,13,0.033935,0,0,TeTolj,1,1,R4,LLRv1,Tommies
14,14,0.03643,0,0,TeTolj,1,1,R4,LLRv1,Tommies
15,15,0.038925,0,0,TeTolj,1,1,R4,LLRv1,Tommies
16,16,0.04142,0,0,TeTolj,1,1,R4,LLRv1,Tommies
17,17,0.043915,0,0,TeTolj,1,1,R4,LLRv1,Tommies
18,18,0.04641,0,0,TeTolj,1,1,R4,LLRv1,Tommies
19,19,0.048905,0,0,TeTolj,1,1,R4,LLRv1,Tommies
20,20,0.051400002,0,0,TeTolj,1,1,R4,LLRv1,Tommies
21,21,0.053895,0,0,TeTolj,1,1,R4,LLRv1,Tommies
22,22,0.056390002,0,0,TeTolj,1,1,R4,LLRv1,Tommies
23,23,0.058885,0,0,TeTolj,1,1,R4,LLRv1,Tommies
24,24,0.061380003,0,0,TeTolj,1,1,R4,LLRv1,Tommies
25,25,0.063875005,0,0,TeTolj,1,1,R4,LLRv1,Tommies
26,26,0.06637,0,0,TeTolj,1,1,R4,LLRv1,Tommies
27,27,0.068865,0,0.01922219,TeTolj,1,1,R4,LLRv1,Tommies
28,28,0.07136,0,0,TeTolj,1,1,R4,LLRv1,Tommies
29,29,0.073855,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
30,30,0.07635,0,0,TeTolj,1,1,R4,LLRv1,Tommies
31,31,0.078845,0,0,TeTolj,1,1,R4,LLRv1,Tommies
32,32,0.08134,0,0,TeTolj,1,1,R4,LLRv1,Tommies
33,33,0.083835,0,0,TeTolj,1,1,R4,LLRv1,Tommies
34,34,0.086330004,0,0,TeTolj,1,1,R4,LLRv1,Tommies
35,35,0.088825,0,0,TeTolj,1,1,R4,LLRv1,Tommies
36,36,0.09132,0,0,TeTolj,1,1,R4,LLRv1,Tommies
37,37,0.093815,0,0,TeTolj,1,1,R4,LLRv1,Tommies
38,38,0.096310005,0,0,TeTolj,1,1,R4,LLRv1,Tommies
39,39,0.098805,0,0.01922219,TeTolj,1,1,R4,LLRv1,Tommies
40,40,0.1013,0,0,TeTolj,1,1,R4,LLRv1,Tommies
41,41,0.103795,0,0,TeTolj,1,1,R4,LLRv1,Tommies
42,42,0.10629,0,0,TeTolj,1,1,R4,LLRv1,Tommies
43,43,0.108785,0,0.01922219,TeTolj,1,1,R4,LLRv1,Tommies
44,44,0.11128,0,0,TeTolj,1,1,R4,LLRv1,Tommies
45,45,0.113775,0,0.01922219,TeTolj,1,1,R4,LLRv1,Tommies
46,46,0.11627,0,0,TeTolj,1,1,R4,LLRv1,Tommies
47,47,0.118765004,0,0,TeTolj,1,1,R4,LLRv1,Tommies
48,48,0.12126,0,0,TeTolj,1,1,R4,LLRv1,Tommies
49,49,0.123755,0,0,TeTolj,1,1,R4,LLRv1,Tommies
50,50,0.12625,0,0,TeTolj,1,1,R4,LLRv1,Tommies
51,51,0.12874499,0,0,TeTolj,1,1,R4,LLRv1,Tommies
52,52,0.13124,0,0,TeTolj,1,1,R4,LLRv1,Tommies
53,53,0.13373499,0,0,TeTolj,1,1,R4,LLRv1,Tommies
54,54,0.13622999,0,0,TeTolj,1,1,R4,LLRv1,Tommies
55,55,0.138725,0,0,TeTolj,1,1,R4,LLRv1,Tommies
56,56,0.14121999,0,0,TeTolj,1,1,R4,LLRv1,Tommies
57,57,0.143715,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
58,58,0.14621,0,0,TeTolj,1,1,R4,LLRv1,Tommies
59,59,0.14870499,0,0,TeTolj,1,1,R4,LLRv1,Tommies
60,60,0.1512,0,0.019222247,TeTolj,1,1,R4,LLRv1,Tommies
61,61,0.15369499,0,0,TeTolj,1,1,R4,LLRv1,Tommies
62,62,0.15619,0,0,TeTolj,1,1,R4,LLRv1,Tommies
63,63,0.158685,0,0,TeTolj,1,1,R4,LLRv1,Tommies
64,64,0.16117999,0,0,TeTolj,1,1,R4,LLRv1,Tommies
65,65,0.163675,0,0,TeTolj,1,1,R4,LLRv1,Tommies
66,66,0.16616999,0,0,TeTolj,1,1,R4,LLRv1,Tommies
67,67,0.16866499,0,0,TeTolj,1,1,R4,LLRv1,Tommies
68,68,0.17116,0,0,TeTolj,1,1,R4,LLRv1,Tommies
69,69,0.17365499,0,0,TeTolj,1,1,R4,LLRv1,Tommies
70,70,0.17615,0,0,TeTolj,1,1,R4,LLRv1,Tommies
71,71,0.178645,0,0.019222247,TeTolj,1,1,R4,LLRv1,Tommies
72,72,0.18113999,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
73,73,0.183635,0,0,TeTolj,1,1,R4,LLRv1,Tommies
74,74,0.18612999,0,0,TeTolj,1,1,R4,LLRv1,Tommies
75,75,0.188625,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
76,76,0.19112,0,0.019222247,TeTolj,1,1,R4,LLRv1,Tommies
77,77,0.19361499,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
78,78,0.19611,0,0.038444265,TeTolj,1,1,R4,LLRv1,Tommies
79,79,0.198605,0,0,TeTolj,1,1,R4,LLRv1,Tommies
80,80,0.20109999,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
81,81,0.203595,0,0,TeTolj,1,1,R4,LLRv1,Tommies
82,82,0.20608999,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
83,83,0.208585,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
84,84,0.21108,0,0,TeTolj,1,1,R4,LLRv1,Tommies
85,85,0.21357499,0,0.057666397,TeTolj,1,1,R4,LLRv1,Tommies
86,86,0.21607,0.017351534,0.019222247,TeTolj,1,1,R4,LLRv1,Tommies
87,87,0.21856499,0.01735143,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
88,88,0.22106,0.01735143,0.115332795,TeTolj,1,1,R4,LLRv1,Tommies
89,89,0.223555,0.017351534,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
90,90,0.22604999,0.06940572,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
91,91,0.228545,0.138811441,0.038444265,TeTolj,1,1,R4,LLRv1,Tommies
92,92,0.23104,0.294976073,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
