;Unnamed: 0;SegId;Mean;Min;Max;Variance;Count;Volume;x;y;z;StructName;sub;ses;run;acq;rec;side;StructNameNoSide
0;25;0;6.37E-05;0;0.373581082;2.09E-05;208619;4496099;0;0;0;Unknown;nm5AYk;1;1;R4;CGv1;;None
1;34;2;0.278193156;0.216886416;0.443890214;0.000791783;14251;307133.625;119.2937338;106.6981264;-82.26356068;Left-Cerebral-White-Matter;nm5AYk;1;1;R4;CGv1;Left;Cerebral-White-Matter
2;18;3;0.330260066;0;10;0.008788859;12770;275215.5;123.5747847;108.8191073;-88.91907713;Left-Cerebral-Cortex;nm5AYk;1;1;R4;CGv1;Left;Cerebral-Cortex
3;3;4;0.418937095;0.250719637;5.326366901;0.078407868;744;16034.48242;103.7231183;102.5369624;-87.62050924;Left-Lateral-Ventricle;nm5AYk;1;1;R4;CGv1;Left;Lateral-Ventricle
4;5;5;0.332975561;0.273588926;0.39565742;0.002580757;6;129.3103333;119.1666667;99.16666667;-120.6896596;Left-Inf-Lat-Vent;nm5AYk;1;1;R4;CGv1;Left;Inf-Lat-Vent
5;11;7;0.30646017;0.243587866;0.465533316;0.000846005;1001;21573.27539;107.8321678;138.5814186;-134.0831624;Left-Cerebellum-White-Matter;nm5AYk;1;1;R4;CGv1;Left;Cerebellum-White-Matter
6;14;8;0.32937277;0;0.608870149;0.002636893;2752;59310.34375;110.7385538;148.0968387;-136.5301766;Left-Cerebellum-Cortex;nm5AYk;1;1;R4;CGv1;Left;Cerebellum-Cortex
7;1;10;0.289098741;0.238776684;0.391551763;0.000560844;367;7909.482422;101.239782;106.2125341;-94.96383084;Left-Thalamus;nm5AYk;1;1;R4;CGv1;Left;Thalamus
8;39;11;0.30070555;0.247737139;0.367063671;0.000600375;183;3943.965332;105.6557377;76.20218579;-94.1398202;Left-Caudate;nm5AYk;1;1;R4;CGv1;Left;Caudate
9;38;12;0.296629445;0.238140434;0.38062802;0.000763671;366;7887.930664;116.2568306;87.35655738;-102.1198465;Left-Putamen;nm5AYk;1;1;R4;CGv1;Left;Putamen
10;16;13;0.263063866;0.236662284;0.315272272;0.000261114;79;1702.586182;109.4936709;92.12025316;-102.5752994;Left-Pallidum;nm5AYk;1;1;R4;CGv1;Left;Pallidum
11;30;14;0.451558084;0.288852632;1.028179049;0.02151326;75;1616.379272;90.23333333;96.16666667;-103.6781656;3rd-Ventricle;nm5AYk;1;1;R4;CGv1;;None
12;13;15;0.471699006;0.279119164;0.980587661;0.023921952;134;2887.930908;88.33955224;128.0970149;-130.648486;4th-Ventricle;nm5AYk;1;1;R4;CGv1;;None
13;17;16;0.271115297;0;0.415711939;0.007047029;945;20366.37891;88.27777778;113.3915344;-130.4251092;Brain-Stem;nm5AYk;1;1;R4;CGv1;;None
14;7;17;0.340147123;0.262680739;0.428740889;0.001061326;257;5538.792969;114.8735409;112.2762646;-113.9272821;Left-Hippocampus;nm5AYk;1;1;R4;CGv1;Left;Hippocampus
15;26;18;0.367924692;0.27891165;0.452683866;0.001225597;79;1702.586182;112.5;94.46202532;-118.5945047;Left-Amygdala;nm5AYk;1;1;R4;CGv1;Left;Amygdala
16;20;24;0.360736975;0;1.250254989;0.020554297;22691;489030.1563;87.9751884;101.8631836;-84.34454996;CSF;nm5AYk;1;1;R4;CGv1;;None
