,Unnamed: 0,SegId,Mean,Min,Max,Variance,Count,Volume,x,y,z,StructName,sub,ses,run,acq,rec,site,side,StructNameNoSide
0,24,0,0.000235028,0,0.459214479,8.37E-05,247886,5342370.5,0,0,0,Unknown,iFhlup,1,1,R4,CGv2,UBC,,None
1,8,2,0.289960212,0.230657354,0.408012986,0.000783393,9667,208340.5156,116.6556326,117.18889,-81.05000455,Left-Cerebral-White-Matter,iFhlup,1,1,R4,CGv2,UBC,Left,Cerebral-White-Matter
2,13,3,0.332996325,0,0.595121026,0.000961495,8996,193879.2969,118.9356381,118.8253112,-87.05823776,Left-Cerebral-Cortex,iFhlup,1,1,R4,CGv2,UBC,Left,Cerebral-Cortex
3,15,4,0.358812497,0.266252935,0.85581702,0.005110247,601,12952.58594,103.7603993,106.468386,-85.94871118,Left-Lateral-Ventricle,iFhlup,1,1,R4,CGv2,UBC,Left,Lateral-Ventricle
4,4,5,0.34458946,0.275369108,0.402098626,0.002761296,5,107.7586212,116.5,113.5,-110.3448322,Left-Inf-Lat-Vent,iFhlup,1,1,R4,CGv2,UBC,Left,Inf-Lat-Vent
5,29,7,0.312037235,0.266584367,0.409072161,0.000438486,693,14935.34473,102.8138528,148.2106782,-126.2128719,Left-Cerebellum-White-Matter,iFhlup,1,1,R4,CGv2,UBC,Left,Cerebellum-White-Matter
6,5,8,0.334547099,0.229416028,0.464344263,0.00088204,1993,42952.58594,105.6798796,156.1753638,-129.0516852,Left-Cerebellum-Cortex,iFhlup,1,1,R4,CGv2,UBC,Left,Cerebellum-Cortex
7,12,10,0.297285035,0.258711874,0.377087831,0.000502052,280,6034.482422,101.0178571,115.0446429,-91.67488175,Left-Thalamus,iFhlup,1,1,R4,CGv2,UBC,Left,Thalamus
8,17,11,0.312931529,0.26398325,0.357132256,0.000534431,123,2650.862061,106.8902439,88.00813008,-89.15055163,Left-Caudate,iFhlup,1,1,R4,CGv2,UBC,Left,Caudate
9,11,12,0.302815508,0.247086048,0.357644707,0.000683842,315,6788.792969,116.1507937,98.73809524,-96.12479958,Left-Putamen,iFhlup,1,1,R4,CGv2,UBC,Left,Putamen
10,40,13,0.278300674,0.252250582,0.310141832,0.000180019,58,1250,109.6551724,102.1551724,-97.50297746,Left-Pallidum,iFhlup,1,1,R4,CGv2,UBC,Left,Pallidum
11,1,14,0.408075647,0.324740201,0.486576438,0.002173779,60,1293.103394,90.91666667,104.125,-98.79310824,3rd-Ventricle,iFhlup,1,1,R4,CGv2,UBC,,None
12,27,15,0.383890441,0.302686751,0.458463788,0.001285563,82,1767.241333,86.98170732,137.8963415,-123.8015182,4th-Ventricle,iFhlup,1,1,R4,CGv2,UBC,,None
13,38,16,0.301071816,0.258879662,0.412617177,0.000424014,772,16637.92969,87.30246114,123.503886,-122.4986644,Brain-Stem,iFhlup,1,1,R4,CGv2,UBC,,None
14,21,17,0.342326232,0.285701841,0.40515396,0.000746246,214,4612.068848,114.1588785,120.8294393,-108.0083836,Left-Hippocampus,iFhlup,1,1,R4,CGv2,UBC,Left,Hippocampus
15,35,18,0.371977837,0.313977122,0.411573589,0.000471408,66,1422.413696,113.2954545,102.8409091,-112.6959293,Left-Amygdala,iFhlup,1,1,R4,CGv2,UBC,Left,Amygdala
16,3,24,0.364016139,0,0.715663493,0.004928599,16702,359956.875,86.49233625,110.1125614,-87.15207019,CSF,iFhlup,1,1,R4,CGv2,UBC,,None
17,19,26,0.342405257,0.304999232,0.376547277,0.000322455,39,840.5172119,103.3974359,86.41025641,-103.0061939,Left-Accumbens-area,iFhlup,1,1,R4,CGv2,UBC,Left,Accumbens-area
18,9,28,0.300670156,0.266385347,0.417654037,0.000584215,182,3922.413574,100.4532967,111.9505495,-104.2061434,Left-VentralDC,iFhlup,1,1,R4,CGv2,UBC,Left,VentralDC
19,22,30,0.349688768,0.338389307,0.367951035,0.000124607,5,107.7586212,117,99.5,-104.1379357,Left-vessel,iFhlup,1,1,R4,CGv2,UBC,Left,vessel
20,6,31,0.333436298,0.284480304,0.384220362,0.000804431,38,818.9655151,105,122.6973684,-90.01815376,Left-choroid-plexus,iFhlup,1,1,R4,CGv2,UBC,Left,choroid-plexus
21,10,41,0.29044964,0.228212446,0.416938156,0.00073515,9550,205818.9531,67.4473822,110.3162304,-78.41849222,Right-Cerebral-White-Matter,iFhlup,1,1,R4,CGv2,UBC,Right,Cerebral-White-Matter
22,39,42,0.330774894,0,0.598938525,0.000878179,8295,178771.5469,63.15250151,108.8384569,-84.4048189,Right-Cerebral-Cortex,iFhlup,1,1,R4,CGv2,UBC,Right,Cerebral-Cortex
23,0,43,0.353538183,0.271553785,0.814409673,0.005021266,511,11012.93066,80.28864971,101.3209393,-83.76409168,Right-Lateral-Ventricle,iFhlup,1,1,R4,CGv2,UBC,Right,Lateral-Ventricle
24,26,44,0.366240694,0.328389704,0.3945117,0.000318363,15,323.2758484,62.66666667,99.5,-111.9540276,Right-Inf-Lat-Vent,iFhlup,1,1,R4,CGv2,UBC,Right,Inf-Lat-Vent
25,20,46,0.309210597,0.263111442,0.378504187,0.000469673,875,18857.75781,69.2,145.1,-124.5517285,Right-Cerebellum-White-Matter,iFhlup,1,1,R4,CGv2,UBC,Right,Cerebellum-White-Matter
26,30,47,0.332847872,0.252890974,0.483709961,0.000843504,1763,37995.6875,66.61939875,152.1766875,-127.455165,Right-Cerebellum-Cortex,iFhlup,1,1,R4,CGv2,UBC,Right,Cerebellum-Cortex
27,32,49,0.299089363,0.262660831,0.382724732,0.000424375,270,5818.965332,80.08333333,111.4537037,-90.48531783,Right-Thalamus,iFhlup,1,1,R4,CGv2,UBC,Right,Thalamus
28,33,50,0.311045085,0.2570526,0.377439678,0.000756866,126,2715.51709,80.97222222,84.72222222,-86.56267604,Right-Caudate,iFhlup,1,1,R4,CGv2,UBC,Right,Caudate
29,37,51,0.302235402,0.247968361,0.362474144,0.000500871,284,6120.689453,69.33098592,90.73943662,-93.85624576,Right-Putamen,iFhlup,1,1,R4,CGv2,UBC,Right,Putamen
30,23,52,0.281225715,0.259203494,0.312102288,0.00013665,68,1465.517212,73.38235294,96.43382353,-94.67546125,Right-Pallidum,iFhlup,1,1,R4,CGv2,UBC,Right,Pallidum
31,2,53,0.341562384,0.28871879,0.399674803,0.00059291,197,4245.689453,64.20050761,111.5609137,-106.5639816,Right-Hippocampus,iFhlup,1,1,R4,CGv2,UBC,Right,Hippocampus
32,28,54,0.368938388,0.313016504,0.411180496,0.000464865,76,1637.93103,70,96.15131579,-111.7967378,Right-Amygdala,iFhlup,1,1,R4,CGv2,UBC,Right,Amygdala
33,25,58,0.353053535,0.321726143,0.384894669,0.000316276,28,603.4482422,84.82142857,82.76785714,-101.4778373,Head-ExtraCerebral,iFhlup,1,1,R4,CGv2,UBC,,None
34,7,60,0.296899036,0.265518099,0.369672328,0.000377615,152,3275.862061,79.42434211,108.4375,-103.2441063,Right-VentralDC,iFhlup,1,1,R4,CGv2,UBC,Right,VentralDC
35,14,62,0.330065191,0.316722244,0.342805773,8.75E-05,5,107.7586212,66.5,91.5,-100.0000048,,iFhlup,1,1,R4,CGv2,UBC,,None
36,16,63,0.334109896,0.293305457,0.396368057,0.000520172,46,991.3792725,76.68478261,110.1086957,-88.60570211,Right-choroid-plexus,iFhlup,1,1,R4,CGv2,UBC,Right,choroid-plexus
37,36,77,0.288892628,0.245127589,0.320830226,0.000334373,37,797.4137573,101.4189189,102.027027,-82.6654291,WM-hypointensities,iFhlup,1,1,R4,CGv2,UBC,,None
38,31,165,0.151605303,0,0.554737151,0.027127878,14025,302262.9063,94.32424242,110.9319073,-91.97713933,,iFhlup,1,1,R4,CGv2,UBC,,None
