,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
112,1,1.358767629,1.260130286,0.729073882,2.395766497,0.199980742,27,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
113,2,1.388307085,1.293170452,0.743439615,3.122817993,0.252322065,25,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
114,3,1.246202263,1.223203599,0.717638195,1.974209428,0.104897562,24,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
115,4,0.648846783,0.64563033,0.524667203,0.782620788,0.003449996,24,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
116,5,0.49657752,0.496823728,0.439080209,0.560089946,0.000866271,24,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
117,6,0.35511199,0.359587237,0.314318299,0.381292969,0.000218415,24,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
118,7,0.256262792,0.260938853,0.203065008,0.27420339,0.000322627,25,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
119,8,0.19321567,0.194051147,0.178854078,0.201356158,2.75E-05,22,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
120,9,0.141081515,0.140917249,0.138145879,0.144579396,3.32E-06,24,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
121,10,0.101924685,0.101144053,0.095621079,0.110053837,1.41E-05,26,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
122,11,0.072591076,0.072510574,0.067018449,0.07895077,7.50E-06,24,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
123,12,0.053641963,0.054304296,0.047545958,0.0594672,9.43E-06,26,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
124,13,0.039182182,0.038410569,0.032318231,0.048338141,1.30E-05,24,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
125,14,0.023081642,0.029865785,0.001000001,0.049259007,0.000242248,25,3,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
126,1,0.812756442,0.793568737,0.417402949,1.371603104,0.061726766,27,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
127,2,0.796323417,0.773293264,0.320223594,1.345099158,0.055190183,25,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
128,3,0.858915969,0.818148582,0.506531873,1.393459835,0.051675388,24,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
129,4,1.554063668,1.548874013,1.277758035,1.905970096,0.02055222,24,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
130,5,2.020862239,2.01278928,1.785427515,2.277488214,0.014348177,24,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
131,6,2.821096735,2.780966924,2.622655232,3.181488326,0.014973964,24,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
132,7,3.924512148,3.832315458,3.646927926,4.924531362,0.101845414,25,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
133,8,5.179488147,5.153281323,4.966324406,5.59115012,0.020928742,22,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
134,9,7.089279425,7.096364466,6.916614885,7.238724802,0.008338879,24,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
135,10,9.824367853,9.886890237,9.086461904,10.45794513,0.128255706,26,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
136,11,13.7954069,13.79115533,12.66612089,14.92126437,0.270887853,24,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
137,12,18.70449167,18.41631307,16.81599263,21.03228193,1.191349571,26,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
138,13,25.73664554,26.03531742,20.68759727,30.94228792,5.520740661,24,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
139,14,311.2364545,33.48313176,20.30085585,999.9994868,185040.1067,25,3,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
140,1,1.447555332,1.344060421,0.796731353,2.649524927,0.177084576,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
141,2,1.213019283,1.167383194,0.579189539,1.946648121,0.168794319,21,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
142,3,1.006086557,0.991896868,0.689998567,1.3042624,0.025299764,21,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
143,4,0.726328072,0.688717604,0.576188684,0.976406634,0.011480486,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
144,5,0.508926731,0.516970813,0.412870049,0.584072948,0.002265534,21,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
145,6,0.416681774,0.415189475,0.387946665,0.444882512,0.000271782,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
