,Unnamed: 0,SegId,Mean,Min,Max,Variance,Count,Volume,x,y,z,StructName,sub,ses,run,acq,rec,site,date,side,StructNameNoSide
0,24,0,6.71E-05,0,0.523780167,2.58E-05,251195,5413685,0,0,0,Unknown,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
1,21,2,0.283834546,0.224637792,0.443518013,0.000826005,9009,194159.4844,110.8569209,103.8181263,-84.45501362,Left-Cerebral-White-Matter,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-White-Matter
2,27,3,0.333977633,0,0.593286693,0.001138376,9257,199504.2969,115.3078751,104.389381,-90.75481116,Left-Cerebral-Cortex,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-Cortex
3,30,4,0.389071952,0.245696664,1.454651475,0.016173567,571,12306.03418,97.71891419,97.81961471,-89.15393937,Left-Lateral-Ventricle,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Lateral-Ventricle
4,32,5,0.349679122,0.320247829,0.391589731,0.001389217,3,64.65516663,117.5,86.66666667,-119.5402343,Left-Inf-Lat-Vent,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Inf-Lat-Vent
5,6,7,0.303790156,0.252819449,0.40976578,0.000542319,814,17543.10352,107.0945946,128.6670762,-134.0633779,Left-Cerebellum-White-Matter,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-White-Matter
6,39,8,0.325217013,0,0.49604997,0.001278878,2188,47155.17188,109.892596,136.4351005,-137.0043539,Left-Cerebellum-Cortex,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-Cortex
7,8,10,0.291336187,0.245100439,0.374314487,0.000510262,254,5474.137695,96.41732283,100.0393701,-96.61960841,Left-Thalamus,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Thalamus
8,7,11,0.306692116,0.250727743,0.391048968,0.00085204,166,3577.586182,100.5572289,74.68373494,-90.09140502,Left-Caudate,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Caudate
9,19,12,0.296446438,0.245899901,0.361627311,0.000582175,287,6185.344727,110.3222997,81.06271777,-99.38724496,Left-Putamen,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Putamen
10,17,13,0.267280279,0.243384287,0.298533052,0.000177761,66,1422.413696,105.3787879,86.25,-100.6792106,Left-Pallidum,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Pallidum
11,11,14,0.408709378,0.301827908,0.647195637,0.005364376,65,1400.862061,88.23076923,92.11538462,-103.9257341,3rd-Ventricle,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
12,1,15,0.434283412,0.287084877,0.849686265,0.009513073,95,2047.413696,89.52631579,119.5263158,-131.1796776,4th-Ventricle,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
13,26,16,0.289130017,0,0.493777126,0.002470281,724,15603.44824,88.95027624,104.9240331,-128.3196842,Brain-Stem,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
14,4,17,0.34201666,0.251530915,0.399938285,0.00072238,194,4181.03418,110.1804124,101.6365979,-112.5666594,Left-Hippocampus,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Hippocampus
15,34,18,0.368927224,0.295436114,0.42257911,0.000658813,65,1400.862061,108.5384615,83.34615385,-116.339527,Left-Amygdala,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Amygdala
16,13,24,0.376610225,0,10,0.061781273,16274,350732.75,83.17607841,100.7309205,-88.616923,CSF,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
17,15,26,0.345353166,0.297101706,0.406269789,0.00057326,30,646.5516968,98.08333333,68.41666667,-103.7931082,Left-Accumbens-area,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,Accumbens-area
18,38,28,0.283202964,0.25111565,0.36748454,0.000415552,155,3340.51709,97.37096774,94.98387097,-109.299226,Left-VentralDC,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,VentralDC
19,23,31,0.327538595,0.27125001,0.44037655,0.000921897,34,732.758606,102.7941176,107.7205882,-97.76876748,Left-choroid-plexus,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Left,choroid-plexus
20,20,41,0.28830933,0.224382997,0.459757209,0.000813687,9152,197241.375,62.84992351,101.5788899,-85.89379871,Right-Cerebral-White-Matter,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Cerebral-White-Matter
21,16,42,0.335315678,0,1.018339038,0.001243391,8479,182737.0625,59.08951527,99.76707159,-93.38772545,Right-Cerebral-Cortex,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Cerebral-Cortex
22,10,43,0.389827232,0.271083772,1.272732258,0.013705014,540,11637.93066,75.22685185,95.94907407,-89.29757838,Right-Lateral-Ventricle,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Lateral-Ventricle
23,0,44,0.339438262,0.279734492,0.373111129,0.000887798,14,301.7241211,61.07142857,87.67857143,-121.1822704,Right-Inf-Lat-Vent,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Inf-Lat-Vent
24,5,46,0.303663115,0.250438094,0.380263865,0.00047805,884,19051.72266,70.43269231,128.4615385,-134.3852437,Right-Cerebellum-White-Matter,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Cerebellum-White-Matter
25,36,47,0.329834262,0,0.588838756,0.001154412,2071,44633.62109,67.90439401,135.0350072,-139.1881358,Right-Cerebellum-Cortex,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Cerebellum-Cortex
26,9,49,0.295973459,0.260599732,0.343426645,0.000273349,247,5323.275879,77.71255061,98.54251012,-97.52897312,Right-Thalamus,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Thalamus
27,29,50,0.314789236,0.264864296,0.376228064,0.000592431,152,3275.862061,75.78947368,73.05921053,-90.15426991,Right-Caudate,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Caudate
28,18,51,0.29509656,0.24904719,0.356711239,0.000512132,282,6077.585938,66.27659574,79.57446809,-100.7459084,Right-Putamen,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Putamen
29,3,52,0.272608795,0.247627899,0.310649455,0.000174793,65,1400.862061,70.96153846,83.30769231,-101.4323655,Right-Pallidum,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Pallidum
30,12,53,0.335401554,0.275944412,0.392440528,0.000468494,186,4008.620605,65.51075269,99.9327957,-114.2009686,Right-Hippocampus,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Hippocampus
31,2,54,0.348458357,0.289810807,0.403806984,0.000565831,69,1487.06897,69.81884058,82.93478261,-117.2913588,Right-Amygdala,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Amygdala
32,25,58,0.358940262,0.296577424,0.445608914,0.000985993,27,581.8965454,82.03703704,68.51851852,-104.2145641,Head-ExtraCerebral,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
33,22,60,0.290840197,0.257756352,0.390802622,0.000382702,133,2866.37915,79.32330827,94.21052632,-110.6818817,Right-VentralDC,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,VentralDC
34,28,62,0.333077103,0.333077103,0.333077103,0,1,21.55172348,65,80,-110.3448322,,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
35,31,63,0.336709682,0.274986893,0.459914476,0.001449017,47,1012.93103,73.19148936,104.9468085,-96.6984641,Right-choroid-plexus,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,choroid-plexus
36,33,77,0.2735494,0.257935703,0.308060259,0.000243873,19,409.4827576,83.15789474,104.4736842,-89.29220095,WM-hypointensities,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
37,35,165,0.065883909,0,10,0.057678402,14297,308125,89.51300972,99.94334476,-95.92656768,,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
38,14,258,0.009598079,0,10,0.028496826,38657,833125,87.55535867,91.77458158,-109.7417385,,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
39,37,259,0,0,0,0,720,15517.24121,93.33333333,22.66666667,-122.8544105,,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
40,26,0,4.53E-05,0,0.496751606,1.70E-05,251468,5419569,0,0,0,Unknown,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
41,12,2,0.287205284,0.221017495,0.451639861,0.000907985,9220,198706.8906,111.7847072,101.2524403,-78.53355289,Left-Cerebral-White-Matter,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-White-Matter
42,2,3,0.338399518,0,0.573647976,0.001321931,9397,202521.5469,115.7983931,102.2797169,-83.18612828,Left-Cerebral-Cortex,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-Cortex
43,37,4,0.385958634,0.244488582,1.342311621,0.015416544,520,11206.89648,98.73557692,96.89423077,-83.94562838,Left-Lateral-Ventricle,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Lateral-Ventricle
44,35,5,0.311747402,0.273479134,0.35001567,0.002928921,2,43.10344696,118.75,90,-113.793108,Left-Inf-Lat-Vent,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Inf-Lat-Vent
45,30,7,0.306846848,0.249585807,0.40204981,0.000491486,752,16206.89648,107.4567819,131.3597074,-124.3809655,Left-Cerebellum-White-Matter,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-White-Matter
46,28,8,0.33172428,0,0.612741172,0.000964473,2224,47931.03125,111.1881745,140.0944245,-126.037278,Left-Cerebellum-Cortex,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-Cortex
47,31,10,0.295586488,0.24936758,0.407192141,0.000515528,233,5021.551758,97.36051502,100.8476395,-91.32751712,Left-Thalamus,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Thalamus
48,38,11,0.304947445,0.240866199,0.380682975,0.000914871,182,3922.413574,101.2362637,74.83516484,-87.68473404,Left-Caudate,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Caudate
49,6,12,0.295591487,0.241327107,0.36992985,0.000663764,223,4806.03418,111.7264574,83.0044843,-95.31467935,Left-Putamen,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Putamen
