,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
0,1.0,0.0011725408112397,0.0010000000474974,0.0010000000474974,0.0051409783773124,6.847172485137763e-07,24,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
1,2.0,0.306436226227864,0.3097418546676636,0.0010000000474974,0.516299843788147,0.0180706854939589,24,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
2,3.0,0.3605593927204609,0.3615083247423172,0.2694655656814575,0.425225555896759,0.0020631523917275,24,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
3,4.0,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0,23,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
4,5.0,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0,24,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
5,6.0,0.2555508637597086,0.2659363448619842,0.0010000000474974,0.3239961266517639,0.0042300906850843,24,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
6,7.0,0.2264339723796756,0.2364196181297302,0.0412119589745998,0.2964276671409607,0.0018603765366269,27,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
7,8.0,0.0071846555827347,0.0010000000474974,0.0010000000474974,0.072497583925724,0.0004016367890122,23,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
8,9.0,0.0707725773875912,0.0708349198102951,0.0688416063785553,0.0727721154689788,1.288228649689116e-06,24,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
9,10.0,0.0396741875592852,0.0010000000474974,0.0010000000474974,0.0882577449083328,0.0017693398693402,24,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
10,11.0,0.0692454051653233,0.0936612337827682,0.0010000000474974,0.0986232757568359,0.0012557988188011,24,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
11,12.0,0.111261488199234,0.1100765541195869,0.1042973697185516,0.119485318660736,1.8590173783080387e-05,25,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
12,13.0,4.832173611968756,3.4369879961013794,0.124057799577713,10.0,15.641404559634756,24,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
13,14.0,5.368152547341127,4.553465127944946,0.6939810514450073,10.0,15.34970348709236,26,1,P0010,R4,T1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
14,1.0,966.438100480671,999.999952502551,194.5155039774308,999.999952502551,25907.151956187136,24,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
15,2.0,86.38448225669458,3.2285924116220555,1.9368590016663445,999.999952502551,75882.42489371383,24,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
16,3.0,2.8208294743688245,2.766248733435523,2.351693086487001,3.7110493040959702,0.1434242403005952,24,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
17,4.0,999.9999525025514,999.999952502551,999.999952502551,999.999952502551,2.0679515313825687e-25,23,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
18,5.0,999.999952502551,999.999952502551,999.999952502551,999.999952502551,0.0,24,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
19,6.0,45.3439910953549,3.760502737421646,3.086456650992052,999.999952502551,39625.05107317344,24,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
20,7.0,5.065439354162584,4.229767427554473,3.373504267145443,24.264801404280004,14.375095865333408,27,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
21,8.0,914.2491280998134,999.999952502551,13.79356312100732,999.999952502551,77208.64125000697,23,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
22,9.0,14.133405464288606,14.117332588912586,13.741527143405328,14.526099151450188,0.05149424030102,24,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
23,10.0,547.0375458643451,999.999952502551,11.330450387539704,999.999952502551,242479.50907986227,24,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
24,11.0,177.49705730095266,10.677280242329516,10.139594252228903,999.999952502551,135315.08593610508,24,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
25,12.0,9.001366097176069,9.084586704209528,8.369229050134415,9.587969501997206,0.1220828535025484,25,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
26,13.0,0.8118166210030883,0.2910837765623465,0.1,8.06075880278349,2.510580411230384,24,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
27,14.0,0.4615939623309638,0.2200866549174431,0.1,1.4409615333412922,0.2021456064520511,26,1,P0010,R4,R1,T1mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
28,1.0,0.018708540854277,0.0010000000474974,0.0010000000474974,0.3551708161830902,0.0059582559326022,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
29,2.0,0.3360254256927873,0.3349120914936065,0.0010000000474974,0.523625910282135,0.0168020050060496,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
