,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
672,1,0.441149187,0.443152428,0.244163692,0.593742549,0.008688636,25,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
673,2,0.44365262,0.444074363,0.31768477,0.595741928,0.005548423,25,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
674,3,0.517754811,0.499393329,0.401551008,0.655142605,0.005842301,22,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
675,4,0.430826685,0.436468646,0.318303376,0.519058704,0.003022905,24,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
676,5,0.338291066,0.344775811,0.236799434,0.390679717,0.001732103,24,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
677,6,0.28248768,0.281044304,0.234263986,0.307646275,0.000303553,23,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
678,7,0.227032923,0.23122102,0.196580589,0.244194552,0.000189506,25,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
679,8,0.185077536,0.186785042,0.172770843,0.191682324,2.31E-05,23,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
680,9,0.139340812,0.138993338,0.136800617,0.143958181,3.28E-06,24,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
681,10,0.105406451,0.104299523,0.097692251,0.114188954,2.27E-05,24,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
682,11,0.08223385,0.081320405,0.076563761,0.091732755,1.65E-05,24,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
683,12,0.066874759,0.06586355,0.059371397,0.081007354,3.34E-05,24,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
684,13,0.054709272,0.052266715,0.041146994,0.09267927,0.000146542,26,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
685,14,0.045166325,0.044211268,0.032316126,0.060115322,6.53E-05,25,6,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
686,1,2.390848069,2.256559905,1.684231661,4.095613037,0.375120517,25,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
687,2,2.318600185,2.251875101,1.678579186,3.147774447,0.152814817,25,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
688,3,1.973570563,2.003104974,1.526385236,2.490343641,0.083241062,22,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
689,4,2.361486773,2.291465184,1.926564359,3.141656904,0.102162099,24,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
690,5,3.008640143,2.900459436,2.559641456,4.22298307,0.186522245,24,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
691,6,3.554272373,3.558157858,3.250486298,4.268688566,0.054183767,23,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
692,7,4.421683787,4.324866308,4.09509545,5.086972249,0.079196562,25,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
693,8,5.406885258,5.353747751,5.216965133,5.788013667,0.020791295,23,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
694,9,7.17784622,7.194595919,6.946461758,7.309908552,0.008484718,24,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
695,10,9.506299121,9.587771677,8.757414469,10.23622639,0.18115227,24,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
696,11,12.18929313,12.29715033,10.90123148,13.06100943,0.343109167,24,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
697,12,15.05951975,15.18291786,12.34455825,16.84312737,1.52385885,24,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
698,13,18.98964221,19.13799853,10.78989945,24.30311213,11.17709025,26,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
699,14,22.87011049,22.61866795,16.6346941,30.94430323,17.16288475,25,6,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
700,1,0.530514814,0.518441617,0.430413514,0.648398757,0.005019095,17,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
701,2,0.534064431,0.535906941,0.370861292,0.679539979,0.00744687,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
702,3,0.567186166,0.576712966,0.467389733,0.68341589,0.005443928,17,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
703,4,0.473688357,0.474187821,0.387317419,0.537192345,0.001939005,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
704,5,0.391610485,0.393007264,0.330086946,0.437189221,0.000858043,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
705,6,0.334573052,0.336938933,0.28914538,0.364288509,0.000348721,18,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
706,7,0.28440525,0.287064135,0.25093478,0.307608187,0.000288658,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
707,8,0.212555473,0.214421794,0.196586668,0.222172335,4.81E-05,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
708,9,0.159834998,0.159496903,0.154297397,0.165775821,7.68E-06,17,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
709,10,0.115001849,0.114676371,0.108641095,0.122930557,1.40E-05,18,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
710,11,0.094306909,0.09390384,0.087436698,0.100100607,1.05E-05,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
711,12,0.0732006,0.072385445,0.064522125,0.085626021,3.13E-05,17,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
712,13,0.063580929,0.060343903,0.053114593,0.077651985,5.47E-05,17,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
713,14,0.053139368,0.051078994,0.04272709,0.069015913,6.43E-05,19,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
714,1,1.918888091,1.928857496,1.542260822,2.323347122,0.065179452,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
715,2,1.925982694,1.866008125,1.471583765,2.69642592,0.113204362,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
716,3,1.793381236,1.73396483,1.463237854,2.139542079,0.054783459,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
717,4,2.130233565,2.108876016,1.861530623,2.581861674,0.04290978,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
718,5,2.568525379,2.544483216,2.2873391,3.029504834,0.040359455,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
719,6,2.998608455,2.96789896,2.74507698,3.458467844,0.030517138,18,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
720,7,3.529107684,3.483998633,3.250888766,3.985099241,0.047494472,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
721,8,4.70979487,4.663723429,4.501010447,5.086814928,0.024872288,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
722,9,6.258323795,6.269714199,6.032242798,6.480990752,0.011666426,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
723,10,8.704614812,8.720211381,8.134673983,9.204619999,0.078569881,18,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
724,11,10.61634337,10.64953413,9.989949444,11.43684538,0.135835312,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
725,12,13.73913487,13.81493195,11.67869286,15.49855964,1.048568436,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
726,13,15.93156662,16.5716826,12.87797086,18.82721759,3.098327892,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
727,14,19.22682228,19.57751955,14.48941209,23.40435518,7.448613979,19,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
728,1,1.421552087,1.310018122,0.736455321,2.641997814,0.240890658,26,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
729,2,1.352617713,1.287221909,0.789565206,2.22648859,0.136440871,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
730,3,0.909896409,0.920476794,0.693679869,1.128875732,0.011685036,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
731,4,0.636230095,0.64912805,0.516293228,0.71450603,0.002904928,26,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
732,5,0.473208225,0.47924158,0.40277943,0.511650443,0.000666187,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
733,6,0.357808673,0.356794819,0.343281657,0.378919393,7.65E-05,22,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
