,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,sub,ses,rec,run
896,1,0.823443308,0.770596027,0.51719898,1.499846578,0.05339975,25,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
897,2,1.170713113,1.055224359,0.510798693,2.798683405,0.305684844,26,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
898,3,0.883643284,0.846151799,0.517552853,1.334013104,0.051203162,24,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
899,4,0.598258694,0.607926816,0.462931603,0.714171946,0.004847493,22,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
900,5,0.436150259,0.445604458,0.346842349,0.502797544,0.001809022,24,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
901,6,0.350244888,0.353461698,0.306556195,0.393276185,0.000395163,24,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
902,7,0.261169378,0.26373291,0.226704046,0.280640423,0.000203613,25,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
903,8,0.194966424,0.193133943,0.183142915,0.208166286,4.47E-05,24,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
904,9,0.139246048,0.139683753,0.132451877,0.142882481,5.82E-06,25,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
905,10,0.101528322,0.101620082,0.095906906,0.106780954,1.09E-05,24,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
906,11,0.076024251,0.076875407,0.066549249,0.085425124,2.48E-05,26,280224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,280224,CGv2,1
