,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
0,1.0,0.4405254030769521,0.4247898012399673,0.2936714291572571,0.5920670032501221,0.0057231420321536,22,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
1,2.0,0.4331140759445372,0.4293574690818786,0.2890303432941437,0.5567570924758911,0.0045368406620968,21,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
2,3.0,0.4624444388207935,0.4534138739109039,0.3444767296314239,0.6027325391769409,0.0054782006047319,21,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
3,4.0,0.3875493245820204,0.3939066380262375,0.2332346439361572,0.4849339127540588,0.0045568890680142,24,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
4,5.0,0.2935053299773823,0.3096300810575485,0.1810010373592376,0.3546328246593475,0.0027606384249047,22,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
5,6.0,0.2579815232235452,0.2625665366649627,0.2020266950130462,0.2927134335041046,0.0006752573461202,23,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
6,7.0,0.2201186621730977,0.2249138206243515,0.1841004490852356,0.2411273121833801,0.0003035780664429,22,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
7,8.0,0.1861865269866856,0.1882542297244072,0.1657685190439224,0.1935099959373474,4.412121518964461e-05,22,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
8,9.0,0.1426997877657413,0.1429175958037376,0.1414557695388794,0.1447241753339767,8.619551886085432e-07,20,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
9,10.0,0.1033128732815384,0.1021335050463676,0.0963254794478416,0.1113891005516052,2.098098973681162e-05,24,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
10,11.0,0.0847236453132195,0.0836061835289001,0.0769789665937423,0.0956500396132469,3.1662586948884606e-05,22,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
11,12.0,0.0733759781966606,0.0708519145846366,0.0633646845817565,0.1081116944551467,0.0001137930120192,24,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
12,13.0,0.0597288519853637,0.0539989471435546,0.0459583513438701,0.1062902435660362,0.0001743076889132,21,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
13,14.0,0.0479295238513838,0.047289241105318,0.0362056829035282,0.0687281638383865,6.968379087549818e-05,22,130224,P0001,R4,T1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
14,1.0,2.3386981110019645,2.3541891014514187,1.6889980264236146,3.4051661166688216,0.1677845276382745,22,130224,P0001,R4,R1,T1mimics,1,CGv1,UBC,20243505,P0001,130224,CGv1,01
